               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.019012,           0.0056278,           0.0052197,             0.99448,             0.99437,             0.99494,             0.84718,            0.013961,           0.0042088,           0.0011204,           0.0097491,           0.0097491,           0.0097491
                  36,            0.018937,           0.0056153,           0.0051213,             0.99423,             0.99425,             0.99489,             0.84769,            0.013917,           0.0042031,           0.0011353,           0.0097343,           0.0097343,           0.0097343
                  37,            0.018909,           0.0056137,            0.005094,             0.99456,             0.99372,             0.99488,             0.84815,             0.01388,           0.0041975,           0.0011268,           0.0097191,           0.0097191,           0.0097191
                  38,             0.01896,           0.0055981,           0.0051084,             0.99465,              0.9933,             0.99488,             0.84875,            0.013837,           0.0041896,           0.0011346,           0.0097035,           0.0097035,           0.0097035
                  39,            0.018932,           0.0056197,           0.0051123,              0.9941,               0.994,             0.99488,             0.84898,            0.013802,           0.0041848,            0.001124,           0.0096875,           0.0096875,           0.0096875
                  40,            0.018881,           0.0056096,           0.0050932,             0.99472,             0.99348,             0.99483,             0.84888,            0.013793,            0.004181,           0.0011146,            0.009671,            0.009671,            0.009671
                  41,            0.018901,           0.0056222,           0.0051349,             0.99435,             0.99393,             0.99484,             0.84974,            0.013789,           0.0041793,           0.0011007,           0.0096542,           0.0096542,           0.0096542
                  42,            0.018859,           0.0055841,           0.0051512,               0.994,             0.99441,             0.99483,             0.84999,            0.013757,           0.0041757,           0.0010879,           0.0096369,           0.0096369,           0.0096369
                  43,            0.018762,           0.0055597,            0.005001,             0.99461,              0.9946,             0.99484,             0.85075,            0.013728,           0.0041653,           0.0010757,           0.0096193,           0.0096193,           0.0096193
                  44,            0.018879,           0.0055917,           0.0050584,             0.99437,             0.99508,             0.99484,             0.85089,            0.013722,           0.0041642,           0.0010667,           0.0096013,           0.0096013,           0.0096013
                  45,            0.018794,           0.0055781,           0.0049816,             0.99485,             0.99407,              0.9949,             0.85072,            0.013728,           0.0041624,           0.0010615,           0.0095828,           0.0095828,           0.0095828
                  46,            0.018782,           0.0055621,           0.0050005,             0.99391,             0.99488,             0.99492,             0.85202,             0.01367,           0.0041527,           0.0010618,            0.009564,            0.009564,            0.009564
                  47,             0.01879,           0.0055648,           0.0050224,             0.99387,             0.99546,              0.9949,             0.85146,            0.013616,           0.0041462,           0.0010725,           0.0095448,           0.0095448,           0.0095448
                  48,            0.018801,            0.005584,           0.0050301,             0.99415,             0.99496,              0.9949,             0.85198,              0.0136,           0.0041467,           0.0010746,           0.0095252,           0.0095252,           0.0095252
                  49,             0.01874,            0.005564,           0.0049794,              0.9939,             0.99498,             0.99485,             0.85169,            0.013609,           0.0041496,           0.0010801,           0.0095052,           0.0095052,           0.0095052
                  50,            0.018714,           0.0055684,           0.0049959,             0.99408,             0.99527,             0.99487,              0.8519,            0.013602,           0.0041425,           0.0010876,           0.0094849,           0.0094849,           0.0094849
                  51,              0.0187,           0.0055468,           0.0049593,             0.99497,             0.99377,             0.99495,              0.8528,            0.013576,            0.004135,           0.0010904,           0.0094641,           0.0094641,           0.0094641
                  52,            0.018679,           0.0055454,            0.004928,             0.99388,             0.99483,             0.99494,             0.85329,            0.013555,           0.0041263,           0.0010895,            0.009443,            0.009443,            0.009443
