               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025007,           0.0078559,            0.008542,             0.98259,             0.96866,             0.99064,             0.77527,            0.018277,           0.0057273,            0.002488,           0.0097491,           0.0097491,           0.0097491
                  36,            0.024899,           0.0078119,           0.0085453,             0.98437,             0.96756,             0.99063,             0.77692,            0.018197,           0.0057114,           0.0024734,           0.0097343,           0.0097343,           0.0097343
                  37,            0.024859,           0.0078235,           0.0084772,             0.98292,             0.96825,             0.99066,             0.77702,            0.018127,           0.0056956,            0.002463,           0.0097191,           0.0097191,           0.0097191
                  38,            0.024818,           0.0077919,           0.0084845,             0.98339,             0.96859,             0.99077,              0.7771,             0.01809,           0.0056863,           0.0024379,           0.0097035,           0.0097035,           0.0097035
                  39,            0.024804,           0.0078064,           0.0084308,             0.98118,             0.97113,             0.99085,             0.77774,            0.018023,           0.0056707,           0.0024041,           0.0096875,           0.0096875,           0.0096875
                  40,            0.024703,            0.007768,           0.0084186,             0.98571,             0.96664,             0.99092,             0.77971,            0.017959,           0.0056551,           0.0023807,            0.009671,            0.009671,            0.009671
                  41,            0.024713,           0.0077885,            0.008435,             0.98497,             0.96754,             0.99089,             0.78025,            0.017893,            0.005643,           0.0023788,           0.0096542,           0.0096542,           0.0096542
                  42,            0.024654,           0.0077392,           0.0082663,             0.98874,             0.96334,             0.99092,             0.78047,            0.017877,           0.0056372,           0.0023732,           0.0096369,           0.0096369,           0.0096369
                  43,            0.024626,           0.0077704,           0.0083186,              0.9835,             0.96942,             0.99091,             0.78156,            0.017833,           0.0056303,            0.002344,           0.0096193,           0.0096193,           0.0096193
                  44,            0.024571,           0.0077349,           0.0082646,             0.98492,             0.96942,             0.99085,             0.78301,             0.01777,           0.0056159,            0.002321,           0.0096013,           0.0096013,           0.0096013
                  45,            0.024541,           0.0077273,           0.0083229,              0.9847,             0.97026,             0.99086,             0.78326,            0.017726,           0.0056054,           0.0022964,           0.0095828,           0.0095828,           0.0095828
                  46,            0.024545,           0.0077478,           0.0082744,             0.98535,             0.97126,             0.99087,             0.78385,            0.017728,            0.005602,            0.002286,            0.009564,            0.009564,            0.009564
                  47,            0.024535,           0.0077449,           0.0082587,             0.98506,             0.97131,             0.99105,             0.78357,            0.017718,           0.0055964,           0.0022829,           0.0095448,           0.0095448,           0.0095448
                  48,            0.024492,           0.0077416,           0.0082228,             0.98428,             0.97042,             0.99112,             0.78424,            0.017713,           0.0055924,           0.0022844,           0.0095252,           0.0095252,           0.0095252
                  49,            0.024359,           0.0077063,           0.0081585,             0.98373,             0.97094,             0.99113,             0.78353,            0.017681,           0.0055836,           0.0022616,           0.0095052,           0.0095052,           0.0095052
                  50,            0.024405,           0.0076874,           0.0082505,             0.98202,             0.97255,             0.99124,             0.78395,            0.017673,           0.0055774,           0.0022478,           0.0094849,           0.0094849,           0.0094849
                  51,            0.024309,           0.0076777,           0.0081575,             0.98237,             0.97324,             0.99174,             0.78433,            0.017649,           0.0055693,           0.0022241,           0.0094641,           0.0094641,           0.0094641
                  52,            0.024385,           0.0077042,           0.0081805,             0.98923,              0.9668,             0.99133,             0.78493,            0.017608,           0.0055627,           0.0022068,            0.009443,            0.009443,            0.009443
                  53,            0.024325,           0.0076912,           0.0081144,             0.99045,             0.96699,             0.99166,              0.7853,            0.017562,           0.0055525,            0.002189,           0.0094215,           0.0094215,           0.0094215
                  54,            0.024295,           0.0076939,           0.0080568,              0.9901,             0.96714,             0.99169,             0.78613,             0.01755,           0.0055475,           0.0021767,           0.0093996,           0.0093996,           0.0093996
                  55,            0.024316,            0.007702,           0.0082042,             0.98646,             0.97021,             0.99168,             0.78694,            0.017547,           0.0055453,           0.0021682,           0.0093773,           0.0093773,           0.0093773
                  56,             0.02418,           0.0076317,           0.0080031,             0.98612,             0.97011,             0.99172,             0.78705,            0.017523,           0.0055388,           0.0021673,           0.0093547,           0.0093547,           0.0093547
                  57,            0.024246,           0.0076672,           0.0080898,             0.98917,             0.96727,             0.99188,             0.78718,            0.017479,           0.0055301,           0.0021638,           0.0093317,           0.0093317,           0.0093317
                  58,            0.024138,           0.0076274,           0.0080148,             0.98956,             0.96746,             0.99199,             0.78782,            0.017461,           0.0055194,           0.0021571,           0.0093083,           0.0093083,           0.0093083
                  59,             0.02411,           0.0076344,           0.0080556,             0.98465,             0.97249,             0.99179,             0.78752,            0.017465,           0.0055152,           0.0021459,           0.0092846,           0.0092846,           0.0092846
                  60,            0.024185,           0.0076553,            0.008019,             0.98954,             0.96914,             0.99197,             0.78792,             0.01744,           0.0055103,           0.0021344,           0.0092605,           0.0092605,           0.0092605
                  61,            0.024159,           0.0076544,           0.0080012,             0.98899,             0.97085,             0.99191,             0.78721,            0.017439,           0.0055106,           0.0021273,           0.0092361,           0.0092361,           0.0092361
                  62,            0.024006,           0.0076169,            0.007983,             0.98705,             0.97209,             0.99181,             0.78744,            0.017429,           0.0055046,           0.0021207,           0.0092113,           0.0092113,           0.0092113
                  63,            0.024086,           0.0076298,           0.0079625,             0.98704,             0.97143,             0.99187,             0.78668,            0.017428,            0.005503,           0.0021115,           0.0091861,           0.0091861,           0.0091861
                  64,            0.023951,           0.0076009,           0.0079596,             0.98335,              0.9756,             0.99203,             0.78801,            0.017388,            0.005494,           0.0020883,           0.0091606,           0.0091606,           0.0091606
                  65,            0.024041,           0.0076045,           0.0079352,             0.98549,             0.97484,             0.99201,             0.78763,            0.017385,           0.0054891,           0.0020784,           0.0091348,           0.0091348,           0.0091348
                  66,            0.023977,           0.0075997,           0.0079137,             0.98503,             0.97577,             0.99192,              0.7883,            0.017359,           0.0054826,           0.0020625,           0.0091086,           0.0091086,           0.0091086
                  67,            0.024031,           0.0076069,           0.0079976,             0.98519,             0.97413,             0.99195,             0.78864,            0.017344,           0.0054807,           0.0020541,           0.0090821,           0.0090821,           0.0090821
                  68,            0.023903,           0.0075873,           0.0078702,             0.98277,             0.97701,             0.99207,             0.78921,            0.017338,           0.0054753,           0.0020276,           0.0090552,           0.0090552,           0.0090552
                  69,            0.023856,           0.0075883,           0.0078115,             0.98925,             0.97082,             0.99213,             0.78972,            0.017321,           0.0054677,           0.0020129,            0.009028,            0.009028,            0.009028
                  70,            0.023979,           0.0076028,           0.0079435,             0.98445,             0.97622,             0.99217,              0.7903,            0.017309,           0.0054656,           0.0019998,           0.0090004,           0.0090004,           0.0090004
                  71,            0.023826,           0.0075536,           0.0078421,             0.98638,             0.97357,             0.99207,             0.79011,            0.017285,           0.0054574,           0.0020095,           0.0089726,           0.0089726,           0.0089726
                  72,            0.023856,           0.0075695,           0.0078203,             0.98805,             0.97252,             0.99207,             0.79074,            0.017276,           0.0054503,           0.0020115,           0.0089444,           0.0089444,           0.0089444
                  73,             0.02383,           0.0075517,           0.0078682,             0.98837,             0.97212,             0.99208,             0.79026,            0.017292,           0.0054458,           0.0020128,           0.0089159,           0.0089159,           0.0089159
                  74,            0.023759,           0.0075245,           0.0077383,             0.98925,             0.97251,             0.99236,             0.79094,             0.01727,           0.0054385,           0.0020188,            0.008887,            0.008887,            0.008887
                  75,             0.02374,           0.0075267,           0.0078372,             0.98887,             0.97188,             0.99244,             0.79083,            0.017261,            0.005435,           0.0020191,           0.0088579,           0.0088579,           0.0088579
                  76,            0.023682,           0.0075358,            0.007816,             0.98606,             0.97466,             0.99241,             0.79124,              0.0172,           0.0054281,           0.0020145,           0.0088284,           0.0088284,           0.0088284
                  77,            0.023766,           0.0075444,           0.0078162,             0.98371,             0.97583,             0.99228,             0.79239,            0.017187,            0.005425,           0.0020059,           0.0087987,           0.0087987,           0.0087987
                  78,            0.023757,           0.0075404,           0.0077477,             0.98422,             0.97508,             0.99233,             0.79166,            0.017177,           0.0054212,           0.0020054,           0.0087686,           0.0087686,           0.0087686
                  79,            0.023697,           0.0075229,           0.0077668,             0.98711,             0.97287,             0.99226,             0.79153,             0.01718,           0.0054175,           0.0020014,           0.0087382,           0.0087382,           0.0087382
                  80,            0.023724,           0.0075253,             0.00776,             0.98511,             0.97506,              0.9922,             0.79162,            0.017125,           0.0054115,           0.0020081,           0.0087075,           0.0087075,           0.0087075
                  81,            0.023621,           0.0074984,             0.00775,             0.98445,               0.976,             0.99211,             0.79202,             0.01713,           0.0054122,           0.0020102,           0.0086765,           0.0086765,           0.0086765
                  82,            0.023652,           0.0075155,           0.0076895,             0.98846,             0.97301,             0.99198,             0.79213,            0.017131,           0.0054125,           0.0020127,           0.0086452,           0.0086452,           0.0086452
                  83,            0.023611,           0.0074999,           0.0076899,             0.98972,             0.97165,             0.99199,             0.79171,            0.017133,           0.0054108,            0.002006,           0.0086137,           0.0086137,           0.0086137
